"","ID","CALAGUA","ESCASEZ","Falta_ab","falla_AB","inf","PRESHDRL","SUBSIDE","USOSUEL","PRESME","dev_agua","FALTA_D","gasto","Pet_del_dren","abast","edad","Pop_ageb","I_ix","S_M","S_sd","F_M","F_sd"
"137",833,0.319847421597279,0,0.0625,0.25,0.3664,0.99707561565461,0,0.092455899450628,0.125,0,1,0,0.351943,51,18,6971,0.71216,0,0,0,0
"138",834,0.619542446712009,0,0.0625,0.0625,0.4789,0.365299272761575,0,0.460742853912563,0.0625,0,1,0,0.351943,151,9,9634,0.64364,0,0,0,0
"139",835,0.410429989280781,0,0.0625,0.25,0.9192,0.091687692055066,0,0.179914037478964,0.0625,0,1,0,0.351943,9,18,2905,0.64194,0,0,0,0
"140",836,0.365183817827362,0,0.0625,0.25,0.7058,0.22768772289921,0,0.15987128688122,0.0625,0,1,0,0.351943,6,18,3170,0.59849,0,0,0,0
"141",837,0.784380384333969,0,0.0625,0.25,0.1401,0.933907778818834,0,0.08783983232076,0.0625,0,1,0,0.351943,87,18,4313,0.70218,0,0,0,0
"142",838,0.40696230900995,0,0.0625,0.25,0.6555,0.952281903943633,0,0.17867864058482,0.0625,0,1,0,0.351943,16,18,4012,0.94352,0,0,0,0
"143",839,0.498531542811858,0,0.0625,0.25,0.7657,0.903462948704576,0,0.957877038082376,0.0625,0,1,0,0.351943,4,18,3141,0.84625,0,0,0,0
"144",840,0.547519358351024,0,0.0625,0.25,0.31,0.88833934115913,0,0.696188664867349,0.0625,0,1,0,0.351943,71,18,4308,0.88849,0,0,0,0
"145",841,0.431347102655808,0,0.0625,0.25,0.2927,0.352368361824617,0,0.803118998573223,0.0625,0,1,0,0.351943,124,18,6782,0.57145,0,0,0,0
"146",842,0.511698534516062,0,0.5,0.25,0.3501,0.49701371977233,0,0.971788438064303,0.0625,0,1,0,0.351943,1108,18,10364,0.69465,0,0,0,0
"147",843,0.910772586983311,0,0.0625,0.25,0.6524,0.061728509172529,0,0.445241978447997,0.0625,0,1,0,0.351943,31,18,6336,0.63303,0,0,0,0
"148",844,0.439465467919273,0,0.0625,0.5,0.8206,0.355635434897783,0,0.908042239884409,0.0625,0,1,0,0.351943,52,33,4303,0.87652,0,0,0,0
"149",845,0.112183201570547,0,0.0625,0.5,0.9348,0.218618276181803,0,0.450336971271411,0.0625,0,1,0,0.351943,20,33,5112,0.69211,0,0,0,0
"150",846,0.990699639807201,0,0.0625,0.5,0.7895,0.080907892972486,0,0.987852346520764,0,0,1,0,0.351943,41,33,3009,0.82248,0,0,0,0
"151",847,0.40101287294934,0,0.0625,0.5,0.7295,0.56599282355195,0,0.822253314099581,0,0,1,0,0.351943,37,33,2628,0.85977,0,0,0,0
"152",848,0.407293395772472,0,0.0625,0.25,0.2241,0.99803089453283,0,0.418884332707897,0,0,1,0,0.351943,126,18,4158,0.91115,0,0,0,0
"153",849,0.149492943588963,0,0.0625,0.25,0.44,0.801602303787179,0,0.706569496570926,0,0,1,0,0.351943,77,18,3580,0.93119,0,0,0,0
"154",850,0.874401378715036,0,0.0625,0.5,0.8597,0.119503325209994,0,0.998610993543551,0,0,1,0,0.351943,84,33,2237,0.8548,0,0,0,0
"155",851,0.186668856360923,0,0.125,0.25,0.7509,0.330602188239312,0,0.42744487236745,0,0,1,0,0.351943,257,18,4048,0.80931,0,0,0,0
"156",852,0.675487694242563,0,0.125,0.25,0.9789,0.687815117370224,0,0.996939914047111,0,0,1,0,0.351943,161,18,3774,0.87752,0,0,0,0
"157",853,0.42037615597342,0,0.0625,0.25,0.871,0.174256102439954,0,0.530869722929396,0,0,1,0,0.351943,60,18,2182,0.77332,0,0,0,0
"158",854,0.200059527620069,0,0.0625,0.25,0.7055,0.233601989024368,0,0.67748794225182,0,0,1,0,0.351943,40,18,4360,0.56721,0,0,0,0
"159",855,0.659633750471757,0,0.0625,0.25,0.4882,0.008166165522606,0,0.95103880460438,0,0,1,0,0.351943,49,18,6055,0.62176,0,0,0,0
"160",856,0.38183914176715,0,0.0625,0.25,0.1602,0.824354762028471,0,0.148141431289569,0,0,1,0,0.351943,184,18,3289,0.63257,0,0,0,0
"161",857,0.61422560068997,0,0.0625,0.25,0.755,0.541911791994209,0,0.376085010526574,0,0,1,0,0.351943,35,18,5003,0.58862,0,0,0,0
"162",858,0.193716766347517,0,0.0625,0.25,0.5626,0.423556765795096,0,0.215305904376315,0,0,1,0,0.351943,25,18,3668,0.63695,0,0,0,0
"163",859,0.596226026354602,0,0.0625,0.25,0.5271,0.712607017214138,0,0.779291721672568,0,0,1,0,0.351943,68,18,3199,0.61572,0,0,0,0
"164",860,0.839431015982544,0,0.0625,0.125,0.7494,0.258616870899521,0,0.155395440586405,0,0,1,0,0.351943,21,14,3168,0.92251,0,0,0,0
"165",861,0.425201341442462,0,0.0625,0.0625,0.1106,0.676762646703207,0,0.686051004134375,0,0,1,0,0.351943,72,9,3549,0.88182,0,0,0,0
"166",862,0.784202896841215,0,0.0625,0.25,0.1785,0.69804908278999,0,0.139880162594491,0,0,1,0,0.351943,16,18,3117,0.62332,0,0,0,0
"167",863,0.951450953803747,0,0.0625,0.25,0.8876,0.136063003356282,0,0.720425023495465,0,0,1,0,0.351943,50,18,3979,0.69514,0,0,0,0
