X,Y,SP_ID,AGEB_ID,CVEGEO,antiguedad,abastecimi,capacidad,cal_agua,contaminat,crec_urb,desp_agua,desv_agua,efic_serv,elevacion,escasez,falla_in,Falta_in,falta_dren,gasto,health,ingreso,monto,obstruc,pet_del_dr,pet_usr_d,poblacion,ponding,pres_hid,CM,estado,municipio,KMEANS5,PRECIP,ACUIF
-98.9932929968935,19.5890770278056,50,693,"""1500200150637""",9,3288,9999,23,61,100,46,0,37,0,0.0625,0.169,1,1,0,9999,0.55786,36,98,0.5,1,3304,9999,5,0.258215,15,2,9999,9999,3
-98.9895160896935,19.5875845448064,51,694,"""1500200150641""",9,2615,9999,70,32,100,47,0,68,0,0.0625,0.109,0,1,0,9999,0.54033,12,90,0.5,3,2645,9999,2,0.143487,15,2,9999,9999,3
-98.8775647632061,19.6442085934887,52,695,"""1500200160162""",14,77,9999,75,57,0,75,0,31,0,0.0625,0.067,0.013,1,0,9999,0.59618,10,30,1,1.1,2513,9999,71,0,15,2,9999,9999,3
-98.8857646872491,19.6392783128124,53,696,"""1500200160209""",14,80,9999,33,24,1.16,49,0,61,0,0.0625,0.067,0.0184,1,0,9999,0.63237,17,22,1,2.1,1853,9999,52,0.000502,15,2,9999,9999,3
-98.8840849780895,19.6333071542655,54,697,"""1500200160529""",4,40,9999,51,5,0,11,0,56,0,0.0625,0.008,0.0355,1,0,9999,0.49584,56,6,1,0,205,9999,6,0,15,2,9999,9999,3
-98.7679306133843,19.1358299476066,55,732,"""1500900010036""",9,124,9999,46,24,70.54,20,0,36,0.3,0.0625,0.033,0.0078,1,0,9999,0.64426,46,97,0.263571,0.2,5556,9999,16,0,15,9,9999,9999,1
-98.7609035335843,19.1316091612555,56,733,"""1500900010040""",9,177,9999,26,77,98.52,62,0,43,0.3,0.0625,0.033,0.0094,1,0,9999,0.57638,73,11,0.263571,1.2,7596,9999,91,0,15,9,9999,9999,1
-98.7652573431983,19.1171585028303,57,734,"""150090001006A""",64,136,9999,68,56,75.81,12,0,82,0.3,0.0625,0.54,0.0048,1,0,9999,0.51772,91,48,0.263571,2,5980,9999,22,0,15,9,9999,9999,1
-98.7564833880662,19.1287938771121,58,735,"""1500900010093""",18,58,9999,9,39,94.44,99,0,64,0.3,0.0625,0.135,0.0116,1,0,9999,0.46847,68,1,0.263571,3.8,2209,9999,0,0,15,9,9999,9999,1
-98.7677415717077,19.110685346071,59,736,"""1500900010125""",9,21,9999,85,42,24,96,0,84,0.3,0.0625,0.033,0.0203,1,0,9999,0.47493,97,91,0.263571,3.3,840,9999,27,0,15,9,9999,9999,1
-98.7710612434138,19.124590647604,60,737,"""1500900010144""",64,50,9999,75,23,85.53,41,0,88,0.3,0.0625,0.54,0.0189,1,0,9999,0.64225,34,22,0.263571,0.9,4050,9999,48,0,15,9,9999,9999,1
-98.7750859184668,19.1156385162213,61,738,"""1500900010159""",18,208,9999,68,62,78.45,85,0,59,0.3,0.0625,0.135,0.0236,1,0,9999,0.54798,68,37,0.263571,1.9,4996,9999,44,0,15,9,9999,9999,1
-98.7742521055019,19.1325591932439,62,739,"""1500900010182""",9,0,9999,5,95,0,71,0,46,0.2,0.0625,0.033,0.0212,1,0,9999,0,61,0,0.065893,0,10,9999,74,0,15,9,9999,9999,1
-98.7746548296059,19.1353547066652,63,740,"""1500900010252""",4,0,9999,88,35,4.76,75,0,46,0.2,0.0625,0.008,0.0039,1,0,9999,9999,50,35,0,0,0,9999,44,0,15,9,9999,9999,1
-98.7554040287685,19.1147776317883,64,741,"""1500900010267""",4,55,9999,76,7,0,98,0,43,0.3,0.0625,0.008,0.003,1,0,9999,0.23485,94,70,0.131786,11.6,450,9999,87,0,15,9,9999,9999,1
-98.7858154258051,19.1503362074502,65,742,"""1500900050233""",6,111,9999,14,33,1,90,0,52,0.2,0.0625,0.015,0.026,1,0,9999,0.53834,78,7,0.263571,5,1792,9999,79,0,15,9,9999,9999,1
-98.7380026892808,19.0846273606534,66,743,"""1500900060106""",9,51,9999,23,63,1.72,49,0,21,0.4,0.0625,0.033,0.009,1,0,9999,0.30483,40,51,0.131786,22.8,2516,9999,3,0,15,9,9999,9999,1
-98.7319319574501,19.0814686908362,67,744,"""1500900060110""",9,432,9999,13,31,0,74,0,48,0.5,0.0625,0.033,0.0365,1,0,9999,0.22458,14,15,0.131786,24.4,2115,9999,41,0,15,9,9999,9999,1
-98.9148732437232,19.5584184046262,68,760,"""1501100010053""",18,96,9999,54,72,87.23,93,0,97,0,0.0625,0.185,0.0514,1,0,9999,0.62864,77,86,1,1.6,4079,9999,44,0.095063,15,11,9999,9999,4
-98.9172084049102,19.5482428496062,69,761,"""1501100010068""",18,290,9999,22,15,52.46,93,0,47,0,0.0625,0.165,0.0378,1,0,9999,0.58735,78,4,1,0.9,6695,9999,16,0.057936,15,11,9999,9999,4
-98.9159822615795,19.5651575969413,70,762,"""1501100010123""",9,189,9999,66,50,22.95,99,0,61,0,0.0625,0.063,0.0327,1,0,9999,0.59502,18,90,1,1.6,1998,9999,28,0.056848,15,11,9999,9999,4
-98.919089469659,19.5575633051201,71,763,"""1501100010138""",9,52,9999,7,25,32.14,29,0,81,0,0.0625,0.086,0.0231,1,0,9999,0.63749,94,74,1,0,1036,9999,57,0.100614,15,11,9999,9999,4
-98.9228190235485,19.5562592694135,72,764,"""1501100010142""",9,158,9999,1,47,3.9,74,0,99,0,0.0625,0.059,0.0178,1,0,9999,0.54668,63,40,1,3.6,1794,9999,70,0.048591,15,11,9999,9999,4
